rank,county,state,pc_income,pop,households
245,Decatur,Indiana,"$22,046 ","25,939","9,792"
246,Greenup,Kentucky,"$22,035 ","36,822","14,465"
247,Cherokee,Alabama,"$22,030 ","26,034","11,656"
248,Clinton,Ohio,"$22,026 ","42,013","15,969"
249,Maries,Missouri,"$22,026 ","9,102","3,749"
250,Edwards,Texas,"$22,015 ","2,070",838
251,Marion,Oregon,"$22,001 ","318,441","113,285"
252,Henderson,Texas,"$21,995 ","78,636","29,732"
253,Marion,Florida,"$21,992 ","333,503","134,002"
254,Meade,Kansas,"$21,990 ","4,486","1,714"
255,Garfield,Utah,"$21,989 ","5,123","1,890"
256,Stevens,Washington,"$21,986 ","43,513","17,684"
257,Hockley,Texas,"$21,984 ","23,115","7,973"
258,Randolph,Illinois,"$21,976 ","33,218","11,889"
259,Coles,Illinois,"$21,970 ","53,732","21,046"
260,Tuscarawas,Ohio,"$21,966 ","92,528","36,149"
261,Pittsburg,Oklahoma,"$21,966 ","45,417","18,456"
262,Buchanan,Missouri,"$21,961 ","89,419","33,331"
263,Hamilton,Illinois,"$21,960 ","8,413","3,512"
264,Alpena,Michigan,"$21,948 ","29,399","12,899"
265,Noble,Oklahoma,"$21,947 ","11,529","4,565"
266,Rains,Texas,"$21,946 ","10,989","4,232"
267,Pickett,Tennessee,"$21,942 ","5,095","2,388"
268,Ashland,Ohio,"$21,940 ","53,234","20,207"
269,Pueblo,Colorado,"$21,940 ","160,048","62,439"
270,Sherman,Texas,"$21,936 ","3,048",949
271,Marshall,Indiana,"$21,933 ","47,057","17,581"
272,Richland,Ohio,"$21,932 ","123,387","48,458"
273,Brule,South Dakota,"$21,928 ","5,286","2,094"
274,Henry,Alabama,"$21,924 ","17,308","7,001"
275,Henry,Kentucky,"$21,923 ","15,425","6,008"
276,Van Zandt,Texas,"$21,920 ","52,515","19,064"
277,Ouachita,Louisiana,"$21,917 ","154,641","57,551"
278,Atchison,Kansas,"$21,909 ","16,839","6,216"
279,Marion,Missouri,"$21,909 ","28,804","11,203"
280,Donley,Texas,"$21,904 ","3,620","1,280"
281,Lake of the Woods,Minnesota,"$21,903 ","3,998","1,665"
282,Clarion,Pennsylvania,"$21,902 ","39,720","15,776"
283,Noble,Indiana,"$21,889 ","47,509","17,722"
284,Spartanburg,South Carolina,"$21,889 ","286,789","107,350"
285,Lincoln,Oklahoma,"$21,888 ","34,238","13,256"
286,Marion,Illinois,"$21,887 ","39,070","15,893"
287,Clinton,Pennsylvania,"$21,875 ","39,501","15,067"
288,Murray,Oklahoma,"$21,870 ","13,571","5,121"
289,Douglas,Oregon,"$21,870 ","107,286","43,846"
290,Watauga,North Carolina,"$21,854 ","51,557","20,909"
291,Bear Lake,Idaho,"$21,853 ","5,957","2,442"
292,Wirt,West Virginia,"$21,852 ","5,796","2,427"
293,Kit Carson,Colorado,"$21,850 ","8,189","3,046"
294,Jackson,Wisconsin,"$21,849 ","20,506","8,112"
295,Brown,Nebraska,"$21,843 ","3,167","1,544"
296,Nye,Nevada,"$21,838 ","43,368","18,046"
297,Raleigh,West Virginia,"$21,837 ","78,993","31,364"
298,Warren,Illinois,"$21,832 ","17,762","6,972"
299,Gasconade,Missouri,"$21,830 ","15,083","6,168"
300,Camas,Idaho,"$21,830 ","1,267",464
301,Grays Harbor,Washington,"$21,828 ","72,092","27,396"
302,Greene,Pennsylvania,"$21,819 ","38,362","14,417"
303,Piscataquis,Maine,"$21,818 ","17,343","7,769"
304,Floyd,Virginia,"$21,816 ","15,371","6,086"
305,Lincoln,Tennessee,"$21,811 ","33,411","13,438"
306,Madison,Kentucky,"$21,800 ","83,976","31,484"
307,Lee,Mississippi,"$21,799 ","83,964","31,898"
308,Wakulla,Florida,"$21,797 ","30,824","10,455"
309,White,Arkansas,"$21,793 ","77,767","29,632"
310,Josephine,Oregon,"$21,791 ","82,783","34,390"
311,Carroll,Ohio,"$21,783 ","28,689","11,107"
312,Chase,Kansas,"$21,775 ","2,763","1,149"
313,Woodson,Kansas,"$21,774 ","3,278","1,517"
314,Galax City,Virginia,"$21,769 ","6,977","3,018"
315,Lyon,Nevada,"$21,757 ","51,648","19,278"
