pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
1237,Warren,Pennsylvania,24179.0,43764.0,56410.0,41429.0,17257.0,0.069885418609743
1238,Garfield,Oklahoma,24177.0,44530.0,53572.0,60956.0,23508.0,0.04388219236616466
1239,Rush,Kansas,24175.0,42610.0,52727.0,3233.0,1529.0,0.05626977370595506
1240,Jasper,Illinois,24174.0,52233.0,59406.0,9680.0,3904.0,0.04057706371860852
1241,Schuyler,New York,24173.0,46976.0,58866.0,18432.0,7684.0,0.024356837267380006
1242,Leon,Texas,24170.0,44452.0,54609.0,16802.0,6349.0,0.034852553421349554
1243,Paulding,Georgia,24168.0,61837.0,67668.0,143845.0,47881.0,0.061225445408654905
1244,Washington,New York,24168.0,52361.0,61494.0,63237.0,24499.0,0.059021132905290895
1245,Berkeley,South Carolina,24165.0,52427.0,59373.0,184366.0,65392.0,0.07313971580814642
1246,Otsego,New York,24165.0,47765.0,60526.0,62029.0,24078.0,0.03847338188618336
1247,Alleghany,Virginia,24162.0,44848.0,59384.0,16240.0,6773.0,0.06692050508602489
1248,Anderson,Kentucky,24161.0,52646.0,64806.0,21575.0,8323.0,0.03983593301217948
1249,Mercer,Ohio,24157.0,52535.0,64758.0,40811.0,15851.0,0.0760014919495541
1250,Kane,Utah,24154.0,48540.0,58883.0,7176.0,3077.0,0.026794390652480484
1251,Campbell,South Dakota,24152.0,35729.0,50938.0,1435.0,679.0,0.056277412915820973
1252,Hardin,Kentucky,24147.0,48687.0,58565.0,106211.0,39401.0,0.06200600067858899
1253,Allegan,Michigan,24140.0,52061.0,59509.0,111742.0,41794.0,0.07369366499734897
1254,Chickasaw,Iowa,24139.0,43971.0,55735.0,12379.0,5364.0,0.04236281145696533
1255,Mercer,Kentucky,24138.0,45396.0,58533.0,21313.0,8745.0,0.04224772733269883
1256,Pipestone,Minnesota,24137.0,46019.0,56071.0,9470.0,3924.0,0.060836153453880173
