pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate,NE_dum,MW_dum,W_dum,S_dum,white_only_total,black_only_total,amer_indian_alaskanative_only_total,asian_only_total,pacisland_only_total,other_only_total,two_or_more_races_total,not_hislat_total,hislat_total,total_pop,whiteonly_pct,blackonly_pct,indianonly_pct,asianonly_pct,pacislandonly_pct,otheronly_pct,twoplusonly_pct,hislatonly_pct
1690,Pike,Indiana,22245.0,40680.0,50069.0,12780.0,5149.0,0.06189730455235354,0,1,0,0,12025.0,125.0,0.0,91.0,0.0,53.0,117.0,12310.0,101.0,12411.0,0.968898557731045,0.010071710579324792,0.0,0.007332205301748449,0.0,0.004270405285633712,0.009427121102248005,0.008137942148094433
1691,Keokuk,Iowa,22243.0,42167.0,54323.0,10428.0,4354.0,0.09332240125621576,0,1,0,0,9973.0,39.0,12.0,27.0,5.0,25.0,119.0,10034.0,166.0,10200.0,0.9777450980392157,0.003823529411764706,0.001176470588235294,0.0026470588235294116,0.0004901960784313725,0.0024509803921568627,0.011666666666666667,0.016274509803921568
1692,Sevier,Tennessee,22242.0,43649.0,50704.0,91295.0,36815.0,0.07496042747341114,0,0,0,1,91233.0,724.0,338.0,828.0,9.0,1215.0,1940.0,90675.0,5612.0,96287.0,0.947511086647211,0.0075191874292479775,0.003510338882715216,0.008599291700852659,9.347056196578978e-05,0.012618525865381619,0.020148098912625794,0.05828408819466802
1693,Coos,Oregon,22239.0,37940.0,47830.0,62753.0,26072.0,0.05738591931331258,0,0,1,0,55911.0,499.0,1477.0,741.0,54.0,1424.0,3202.0,59267.0,4041.0,63308.0,0.8831585265685221,0.007882100208504455,0.023330384785493145,0.0117046818727491,0.0008529727680545902,0.022493207809439565,0.050578125987237,0.06383079547608517
1694,Henry,Tennessee,22239.0,36950.0,48836.0,32293.0,13473.0,0.03781759129830796,0,0,0,1,28896.0,2736.0,50.0,81.0,0.0,83.0,433.0,31476.0,803.0,32279.0,0.895195018433037,0.0847609901174138,0.0015489947024381176,0.0025093714179497506,0.0,0.002571331206047275,0.013414294123114099,0.02487685492115617
1695,Greene,Indiana,22235.0,43980.0,54728.0,33001.0,12894.0,0.058231581349667313,0,1,0,0,31579.0,125.0,13.0,112.0,20.0,32.0,414.0,31849.0,446.0,32295.0,0.97782938535377,0.003870568199411674,0.00040253909273881407,0.0034680291066728594,0.0006192909119058678,0.0009908654590493884,0.012819321876451463,0.013810187335500851
1696,Rosebud,Montana,22229.0,48789.0,60188.0,9310.0,3268.0,0.07131652893942701,0,0,1,0,5435.0,10.0,3464.0,99.0,0.0,89.0,153.0,8793.0,457.0,9250.0,0.5875675675675676,0.001081081081081081,0.37448648648648647,0.010702702702702703,0.0,0.00962162162162162,0.01654054054054054,0.0494054054054054
1697,Klickitat,Washington,22229.0,41694.0,48375.0,20537.0,8019.0,0.050162727918971584,0,0,1,0,19614.0,47.0,672.0,165.0,3.0,465.0,430.0,18815.0,2581.0,21396.0,0.9167134043746494,0.0021966722751916245,0.03140773976444195,0.007711721817162087,0.00014021312394840157,0.021733034212002244,0.020097214432604225,0.12063002430360815
1699,Morrow,Ohio,22228.0,51484.0,58660.0,34932.0,12940.0,0.050054594179097064,0,1,0,0,33697.0,363.0,41.0,22.0,0.0,128.0,725.0,34472.0,504.0,34976.0,0.9634320677035682,0.010378545288197621,0.0011722323879231472,0.0006290027447392498,0.0,0.0036596523330283625,0.02072849954254346,0.014409881061299177
1700,Haskell,Texas,22223.0,36857.0,48886.0,5885.0,2425.0,0.061632006655898484,0,0,0,1,5148.0,194.0,33.0,44.0,0.0,279.0,111.0,4144.0,1665.0,5809.0,0.8862110518161473,0.033396453778619384,0.005680840075744534,0.007574453434326046,0.0,0.04802892064038561,0.01910828025477707,0.28662420382165604
1701,Lewis,Washington,22212.0,42860.0,53627.0,75419.0,29527.0,0.05484629542907276,0,0,1,0,69747.0,452.0,550.0,914.0,148.0,1269.0,3867.0,69255.0,7692.0,76947.0,0.906429100549729,0.0058741731321559,0.007147777041340143,0.011878305846881619,0.0019234018220333476,0.01649187102811026,0.0502553705797497,0.09996491091270615
1702,Davis,Iowa,22210.0,45040.0,51772.0,8755.0,3115.0,0.044016968988731926,0,1,0,0,8705.0,5.0,0.0,62.0,0.0,5.0,108.0,8761.0,124.0,8885.0,0.979741136747327,0.0005627462014631402,0.0,0.006978052898142938,0.0,0.0005627462014631402,0.012155317951603828,0.013956105796285876
1703,Kay,Oklahoma,22207.0,41012.0,50266.0,46122.0,18357.0,0.05010503741131024,0,0,0,1,35313.0,986.0,3805.0,229.0,0.0,1268.0,3279.0,41361.0,3519.0,44880.0,0.7868315508021391,0.02196969696969697,0.08478163992869875,0.005102495543672014,0.0,0.028253119429590016,0.0730614973262032,0.07840909090909091
1704,La Paz,Arizona,22200.0,35776.0,42729.0,20408.0,10221.0,0.0715462741252824,0,0,1,0,15914.0,170.0,2924.0,158.0,8.0,932.0,595.0,15087.0,5614.0,20701.0,0.7687551326022898,0.008212163663591131,0.14124921501376744,0.007632481522631757,0.0003864547606395826,0.045021979614511376,0.02874257282256896,0.2711946282788271
1705,St. Lawrence,New York,22198.0,43647.0,53346.0,112097.0,41839.0,0.05623562394853817,1,0,0,0,101766.0,2642.0,828.0,1153.0,68.0,1127.0,1974.0,107026.0,2532.0,109558.0,0.9288778546523303,0.02411508059657898,0.0075576407017287645,0.01052410595301119,0.0006206758064221691,0.010286788732908596,0.018017853557020024,0.02311104620383724
